Track name,Artist name,Album,Playlist name,Type,ISRC,Tidal - id
"Impending Doom","Nervosa","Slave Machine","Favorites tracks","Favorite","ATN262637502","482726868"
"Waterscene","Cancer House","The Moth","Favorites tracks","Favorite","QM4TX2660866","501428696"
"Somewhere, Sometime","Drudkh","Thaw","Favorites tracks","Favorite","FR33T2516102","492027604"
"IRON VEINS","KAVARI","IRON VEINS","Favorites tracks","Favorite","GBBKS2500570","484624504"
"I'd Rather Be Tending My Sheep","One Leg One Eye","...And Take The Black Worm With Me","Favorites tracks","Favorite","USCGJ2445508","347740157"
"Glistening, She Emerges","One Leg One Eye","...And Take The Black Worm With Me","Favorites tracks","Favorite","USCGJ2445506","347740155"
"Where Would We Be","Amanda Whiting","Where Would We Be","Favorites tracks","Favorite","GBCTF1001373","223480961"
"Very Bad News","April + VISTA","Traditional Noise (Atmos)","Favorites tracks","Favorite","QM6N22676159","516044664"
"Flying Whales","Gojira","From Mars to Sirius","Favorites tracks","Favorite","FR6V80520037","13929186"
"Demons Gate","Candlemass","Epicus Doomicus Metallicus","Favorites tracks","Favorite","GBCQV0700945","68660556"
"Deadly Species","Alif Tree","French Cuisine","Favorites tracks","Favorite","DEM090500189","199468625"
"Voices Near The Hypocentre","Lanark Artefax","Whities 011","Favorites tracks","Favorite","UK7MC1700061","74837354"
"Stop Machine","Snorkel","Stop Machine","Favorites tracks","Favorite","GBGNZ1100112","58389103"
"Everybody Daylight","Brightblack Morning Light","Brightblack Morning Light","Favorites tracks","Favorite","USMTD0667101","2275591"
"La Ronda y el sonidero","Debit","Desaceleradas","Favorites tracks","Favorite","UK8262501497","456989896"
"In Search Of M-Theory","Vinnum Sabbathi","Of Dimensions and Theories","Favorites tracks","Favorite","GBMA22052351","136333937"
"Marked for Death","Emma Ruth Rundle","Marked for Death","Favorites tracks","Favorite","QMLD61402153","430146076"
"Flea","Agriculture","The Spiritual Sound","Favorites tracks","Favorite","USA2Z2500534","443831344"
"Nebuchadnezzar II","Wyatt E.","Exile to Beyn Neharot","Favorites tracks","Favorite","BEC631700071","82503799"
"Il Sole sorge sempre","Uncle Acid & The Deadbeats","Nell' ora blu","Favorites tracks","Favorite","GBMLU2425601","353483121"
"Gust Front (The Waiting)","Daniel Bachman","Almanac Behind","Favorites tracks","Favorite","USA2B2203419","381134623"
"Bad Touch Example","Company Flow","Funcrusher Plus","Favorites tracks","Favorite","QZNW72332715","279660162"
"Image of Control (II)","Sumac","What One Becomes","Favorites tracks","Favorite","USTJ21641707","279509791"
"Dixie Whiskey (remastered 2007)","Eyehategod","Dopesick (remastered Re-issue + Bonus)","Favorites tracks","Favorite","US4E40626204","51972003"
"Song for JW","The Holy Mountain Orchestra","Song for JW","Favorites tracks","Favorite","US58L2597501","461596676"
"Grafschrift","De Mannen Broeders","Grafschrift","Favorites tracks","Favorite","US2642456405","370529063"
"The Choir Of The Dead","Blut Aus Nord","The Work Which Transforms God","Favorites tracks","Favorite","GBADD0409402","232734661"
"Bad Year","Iron Monkey","Our Problem","Favorites tracks","Favorite","GBBPB0400625","346869389"
"Katabasis","Persefone","metanoia","Favorites tracks","Favorite","ATN262211102","201729548"
"Flipping Poles","Connan Mockasin","Flipping Poles","Favorites tracks","Favorite","QMV8L1928803","396068250"
"Roof","Wiki","Half God","Favorites tracks","Favorite","GB5P52100236","199019228"
"Tziidall Raszhisst","Koenjihyakkei","Angherr Shisspa Revisited","Favorites tracks","Favorite","USA2B1902238","113491786"
"Antechamber","Latitudes","Agonist","Favorites tracks","Favorite","GBTEG0900119","84010089"
"Skydiving onto the library roof","caroline","caroline","Favorites tracks","Favorite","GBCVZ2100005","215216799"
"Ausblutungsschlacht","Kanonenfieber","Die Urkatastrophe","Favorites tracks","Favorite","GBDHC2449011","366301049"
"Life on the Other Side Pt. 2","New Age Doom","Angels Against Angels","Favorites tracks","Favorite","CA0WS2622002","478183653"
"Mandelbrot Anamnesis","Intensive Care","Was I Good Enough?","Favorites tracks","Favorite","QMFMF2464022","408488783"
"To Walk a Higher Path","The Body","Orchards of a Futile Heaven","Favorites tracks","Favorite","USTJ22457002","311250792"
"Room 429","Cop Shoot Cop","Ask Questions Later","Favorites tracks","Favorite","QMFMG1428835","31565825"
"Don Caballero 3","Don Caballero","What Burns Never Returns","Favorites tracks","Favorite","USTG39818501","61686258"
"Nosferatu Man","Slint","Spiderland","Favorites tracks","Favorite","USTG39106402","61685323"
"Stratocumulus Evergaol","Cryptic Shift","Overspace & Supertime","Favorites tracks","Favorite","USMBR2516916","475091259"
"Hiathaikm","Valentin Stip","Don't Break My Love","Favorites tracks","Favorite","FR6V81433994","450686091"
"Insistor","Tapes 'n Tapes","The Loon","Favorites tracks","Favorite","USTC10607228","98336334"
"Bryn Spirit","Content Provider","Pornographic-Time, Vol. IIl: The Horizonless Interface","Favorites tracks","Favorite","NL3U12600012","487108052"
"Night Witch","Wolf People","Ruins","Favorites tracks","Favorite","US38Y1627903","65975052"
"The Man Who Loves to Hurt Himself","TODAY IS THE DAY","Temple of the Morning Star","Favorites tracks","Favorite","QMBZ92197011","190283160"
"Al Sayf السيف","Yalla Miku","2","Favorites tracks","Favorite","CHA830001901","458407187"
"Out of the Void","Plini","Out of the Void","Favorites tracks","Favorite","AUMEV2463899","362665309"
"Sabotage","Beastie Boys","Ill Communication","Favorites tracks","Favorite","USCA29400020","158531"
"Far Closes","Craven Faults","Sidings","Favorites tracks","Favorite","GBCKB2514308","466681598"
"Impatience, Magma","Caterina Barbieri","At Source","Favorites tracks","Favorite","DEG932505071","462444577"
"A Strange Day","The Cure","Pornography","Favorites tracks","Favorite","GBALB0080023","1198398"
"Smooth Operator (Martin L. Gore Remix)","Señor Coconut","Música Moderna, Vol. I (Remixes and Rare Tracks)","Favorites tracks","Favorite","DEXO11947923","105852495"
"Mester Stoor Worm","Hellripper","Warlocks Grim & Withered Hags","Favorites tracks","Favorite","GBCQV2200228","260749580"
"Strange Heavens","Linda May Han Oh","Strange Heavens","Favorites tracks","Favorite","QZLDD2500011","440432453"
"Synthetic Piss","Artisans","synthetic piss","Favorites tracks","Favorite","LTA142400017","400105882"
"Malfeitor","Watain","Lawless Darkness","Favorites tracks","Favorite","FR33T1020302","36807959"
"Darwish Records","Yoni Mayraz","Dogs Bark Babies Cry","Favorites tracks","Favorite","QM6P42503360","430941355"
"Super Glyde","Glyders","Forever","Favorites tracks","Favorite","US58L2596601","451670038"
"Beyond The Great Vast Forest","Emperor","In The Nightside Eclipse","Favorites tracks","Favorite","GBADD0403004","276244832"
"Mr. Peanut","Otto Benson","Peanut","Favorites tracks","Favorite","QT6FJ2548741","480282387"
"Norf Side (feat. Tierra Whack)","Jill Scott","To Whom This May Concern","Favorites tracks","Favorite","US6R22508793","498227690"
"Long Pond Lily","Hayden Pedigo","I'll Be Waving As You Drive Away","Favorites tracks","Favorite","QMV8L2437401","415822743"
"Junnatox","Valdrin","Two Carrion Talismans","Favorites tracks","Favorite","SEVCK1800701","128509535"
"Into The Infinity Of Thoughts","Emperor","In The Nightside Eclipse (20th Anniversary Edition)","Favorites tracks","Favorite","GBADD1433602","276241266"
"Delusionalism","MASS OF THE FERMENTING DREGS","Mass Of The Fermenting Dregs","Favorites tracks","Favorite","JPPO02102014","187914236"
"Una stanza","ONDAKEIKI","Canti, Vol. 2","Favorites tracks","Favorite","IT3GN2500128","463687885"
"PragmatiKotita","Negros Tou Moria","MAVRI ELLADA","Favorites tracks","Favorite","GRSTY2500599","424016245"
"try saying","Mandy, Indiana","URGH","Favorites tracks","Favorite","US5NR2637303","467195544"
"Ephemeral Eternity (feat. Garm)","Mayhem","Liturgy of Death","Favorites tracks","Favorite","GBDHC2655801","467331822"
"Der freiwillige Bettler","Urfaust","Der freiwillige Bettler","Favorites tracks","Favorite","DENI11000101","63394133"
"TMA-1","Monolithe","Zeta Reticuli","Favorites tracks","Favorite","CH6542212261","426620772"
"Thrust","Puscifer","Normal Isn't","Favorites tracks","Favorite","QMRSZ2501794","493535894"
"A Tune for Us","Djrum","Under Tangled Silence","Favorites tracks","Favorite","GBEXH2401980","420061323"
"Rusalka Succubus","Valdrin","Beyond The Forest","Favorites tracks","Favorite","USY251477353","29853469"
"Profanum","Kampfar","Profan","Favorites tracks","Favorite","NOCVC1565020","367115583"
"4am","Bewider","Ships That Pass In The Night","Favorites tracks","Favorite","QZZ7T2531782","459246311"
"The Merciful Lake","Holy Tongue","The Tumbling Psychic Joy of Now","Favorites tracks","Favorite","DEG932401382","355560099"
"Why Me","Joanne Robertson","Blurrr","Favorites tracks","Favorite","DEG932501956","427745098"
"Born to Die","Maruja","Pain to Power","Favorites tracks","Favorite","GBCKC2500066","457113850"
"Nested in Tangles","Hannah Frances","Nested in Tangles","Favorites tracks","Favorite","USA2B2512529","445450316"
"Pájaros de fuego","Los Tres","Los Tres","Favorites tracks","Favorite","CLA220400107","21768378"
"Stagno","ovo","Gemma","Favorites tracks","Favorite","QM6P42507109","440570066"
"Bosna in Time","Kultur Shock","House of Kultur","Favorites tracks","Favorite","QT3TB2564078","485711745"
"The Person You’d Like To Be","Barry Can’t Swim","The Person You’d Like To Be","Favorites tracks","Favorite","GBCFB2501487","421762379"
"Send","PVA","No More Like This","Favorites tracks","Favorite","QMB622510004","453939702"
"Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)","Tyler Icu","Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)","Favorites tracks","Favorite","ZB1OS2300183","288483759"
"Solvay Beach","Laura Agnusdei","Flowers Are Blooming In Antarctica","Favorites tracks","Favorite","UK9AV2500997","410861641"
"Prime","Makaya McCraven","Prime","Favorites tracks","Favorite","QM84B2510315","461418857"
"Turmoil at the gates of Mu","MU","Third Trip to Mu","Favorites tracks","Favorite","IT2TS2500308","472987440"
"Perseverance Flow","Natural Information Society","Perseverance Flow","Favorites tracks","Favorite","GBX722520001","453872190"
"Tire o Seu Passado da Frente","Arnaldo Antunes","Novo Mundo","Favorites tracks","Favorite","BRRC72500008","424365362"
"monigote","Demencia Infantil","Monigote Cualquiera","Favorites tracks","Favorite","QZNJX2566935","446855704"
"Now Claims My Timid Sight","Aris Kindt","Now Claims My Timid Heart","Favorites tracks","Favorite","USYBL2510845","467192274"
"Je suis la Terre qui absorbe Dieu","OKO DJ","As Above, So Below","Favorites tracks","Favorite","BEIX82500704","455594186"
"Sayl Damei","SANAM","Sametou Sawtan","Favorites tracks","Favorite","CACQ22518606","433117762"
"Dissect Me Again (feat. Ari Greenbaum & Daniel Meir)","Meira Asher","Spears into Hooks","Favorites tracks","Favorite","USDY41834956","88058825"
"Pompel","Superless","Superless","Favorites tracks","Favorite","NOGJF2302010","318341651"
"Spheres of Madness","Decapitated","Nihility","Favorites tracks","Favorite","GBBPB0100840","13917192"
"C4","Helena Hauff","R4","Favorites tracks","Favorite","DEF272537901","433990548"
"RAVE","Dxrk ダーク","RAVE","Favorites tracks","Favorite","QM4TX2201027","218803487"
"elvis has left the building","Vladimir Dubyshkin","Budni Nashego Kolhoza","Favorites tracks","Favorite","UKMH51900064","216046125"
"Rave Harder Techno Bass","Mark Dekoda","Rave Harder Techno Bass","Favorites tracks","Favorite","DEAR42298309","218120833"
"Lazy In Hell","I Hate Models","Disco Inferno 01","Favorites tracks","Favorite","SE3JM2100103","392497988"
"Make Me Bad","Korn","Issues","Favorites tracks","Favorite","USSM19922483","33723918"
"Lifeblood","Raphael Weinroth-Browne","Lifeblood","Favorites tracks","Favorite","CBEFH2500001","454693508"
"""Drug Thing""","Motorpsycho","Blissard","Favorites tracks","Favorite","NOAAC9601020","13864749"
"Cygnus","Cult of Luna","Mariner","Favorites tracks","Favorite","NOCVC1668050","366918365"
"Delving","delving","Hirschbrunnen","Favorites tracks","Favorite","DEM252103021","411671107"
"That's Amazing Grace","All Seeing Dolls","Parallel","Favorites tracks","Favorite","GBN7R1400352","411283211"
"Harakat حركات","Caïn و Muchi","This Is How We Break Your Toxic Positivity","Favorites tracks","Favorite","QZMHP2398881","312877942"
"Beat","Bowery Electric","Beat","Favorites tracks","Favorite","USI4R0401646","43652920"
"Automatic Love","Nourished by Time","The Passionate Ones","Favorites tracks","Favorite","GBBKS2500051","451341834"
"Group Four","Massive Attack","Mezzanine","Favorites tracks","Favorite","GBAAA9800349","161324"
"The Drowning Age","Draconian","A Rose for the Apocalypse","Favorites tracks","Favorite","ATN261137601","68084088"
"Proof of Existence","Void Of Hope","Proof of Existence","Favorites tracks","Favorite","DEPI82454594","403909285"
"Io, Nessuno","Blaze of Sorrow","Astri","Favorites tracks","Favorite","USQY51755874","345788479"
"Io della musica non ci ho capito niente I  (feat. Rodrigo D'Erasmo)","Giulia Mei","Io della musica non ci ho capito niente","Favorites tracks","Favorite","ITBSF2500002","423779809"
"The Meeting of Orion and Scorpio","Lychgate","Precipice","Favorites tracks","Favorite","FXQ732500035","462693783"
"Root the Will","Gaahls WYRD","Braiding the Stories","Favorites tracks","Favorite","FR33T2485308","417062796"
"Void Within","Abigail Williams","A Void Within Existence","Favorites tracks","Favorite","PLC172401002","432669305"
"Whore of Babylon","Zheani","Satanic Prostitute","Favorites tracks","Favorite","GBK3W2101873","378579577"
"Dark Medieval Times","Satyricon","Dark Medieval Times (Remastered 2021)","Favorites tracks","Favorite","NOKBF9401020","178502608"
"Hopeless Magic","Cave Sermon","Fragile Wings","Favorites tracks","Favorite","QZMEN2577154","429856444"
"Koár postupuje temnomodrými dálavami na juhozápad","Malokarpatan","Vertumnus Caesar","Favorites tracks","Favorite","USL4Q2313667","470410445"
"The Church","Mr. Oizo","The Church","Favorites tracks","Favorite","US25X1086780","36162648"
"The Captain","The Knife","Silent Shout","Favorites tracks","Favorite","SEWCE0600203","246026200"
"Hrenga","Firtan","Ethos","Favorites tracks","Favorite","DEPI82431495","369925207"
"Expect the Unexpected","CONTROL DENIED","The Fragile Art of Existence (Deluxe Reissue)","Favorites tracks","Favorite","US2641011803","30070681"
"Desolation Valley / Waves","NEKTAR","A Tab In The Ocean","Favorites tracks","Favorite","GBBLY2202885","224022052"
"The Big Unknown","Elder Island","Elder Island","Favorites tracks","Favorite","UK7DW1400005","471851299"
"As You Said","Cream","Wheels Of Fire","Favorites tracks","Favorite","GBA076800060","77562211"
"So Spoke the Silent Stars","Qrixkuor","The Womb of the World","Favorites tracks","Favorite","USL4Q2580587","470647844"
"Grinta","Mutamassik","Symbols Follow","Favorites tracks","Favorite","QZTBC2408901","384737706"
"Bite The Bolster","Ramleh","Hole in the Heart","Favorites tracks","Favorite","GBPYE1010020","53846311"
"Just a Lifetime","The Legendary Pink Dots","The Crushed Velvet Apocalypse","Favorites tracks","Favorite","USI4R1128139","30726971"
"The Wind that Cracks the Leaves","In Gowan Ring","Hazel Steps through a Weathered Home","Favorites tracks","Favorite","QZ22B1859993","221197019"
"Necropolis","Manilla Road","Crystal Logic","Favorites tracks","Favorite","DEA311302537","63993219"
"Hewers Of Wood And Drawers Of Water","Kiss The Anus Of A Black Cat","Hewers of Wood and Drawers of Water","Favorites tracks","Favorite","BEW161012701","31125357"
"Informal Gluttony","Between The Buried And Me","Colors","Favorites tracks","Favorite","USVIC0735103","75669952"
"Frontschwein","Marduk","Frontschwein","Favorites tracks","Favorite","US4E41519901","56246455"
"Caesar's Palace","Morbid Angel","Domination","Favorites tracks","Favorite","GBBPB0401928","18646866"
"Deliverance","Opeth","Deliverance","Favorites tracks","Favorite","GBCKC0200326","52261005"
"The IVth Crusade","Bolt Thrower","The IVth Crusade (Full Dynamic Range Edition)","Favorites tracks","Favorite","GBBPB1302293","24054169"
"Starburst","Danny Brown","Stardust","Favorites tracks","Favorite","GBBPW2502097","458788781"
"la paradoja","Juana Molina","DOGA","Favorites tracks","Favorite","AR4PD2500002","462781350"
"Serbia","William Parker","Heart Trio","Favorites tracks","Favorite","USEZ92411804","364825609"
"Sol Niger Within Medley","Mats/Morgan Band","Trum","Favorites tracks","Favorite","SE4QX2100204","209813115"
"The Blond Beast","Marduk","Frontschwein","Favorites tracks","Favorite","US4E41519902","56246456"
"Memories Like Stone","Morne","Engraved with Pain","Favorites tracks","Favorite","USMBR2315818","310803824"
"He Comes","In Solitude","Sister","Favorites tracks","Favorite","USMBR1309810","37153758"
"My childhood was a period of waiting for the moment when I could send everyone and everything connected with it to hell","Ciśnienie","(angry noises)","Favorites tracks","Favorite","QT3EX2567216","461554690"
"Hunt the Buffalo","Cobalt","Slow Forever","Favorites tracks","Favorite","USN681610024","57780901"
"I. Woe Regains My Substance","Mizmor","Yodh","Favorites tracks","Favorite","QMFMG1543047","136999968"
"Sleeping Inside","Lilium","Transmissions Of All The Goodbyes","Favorites tracks","Favorite","DEE350053121","189059883"
"Totality","Natural Information Society","Totality","Favorites tracks","Favorite","US58L2586001","411901202"
"Draumleysa","Martröð","Transmutation Of Wounds","Favorites tracks","Favorite","DENI12100114","188037710"
"Pariah","Telepathy","Burn Embrace","Favorites tracks","Favorite","FI7S51900108","128504717"
"King of the Rotten","Corrosion of Conformity","Wiseblood","Favorites tracks","Favorite","USSM19602359","543727"
"Legado","Vauruvã","Mar da Deriva","Favorites tracks","Favorite","BCI4A2500001","436833626"
"Qaqqari lā târi, Pt. 1","Wyatt E.","Zamāru ultu qereb ziqquratu, Pt. 1","Favorites tracks","Favorite","ITM462400263","392411440"
"Lowly Weep","Darkher","The Buried Storm","Favorites tracks","Favorite","DES562023002","210121518"
"Boden (Vinyl Version)","Amenra","Mass V Vinyl Version","Favorites tracks","Favorite","TCABM1391316","20657871"
"Fish","POLIÇA","United Crushers","Favorites tracks","Favorite","USQE91500147","57797818"
"Elemental","Thergothon","Stream From The Heavens","Favorites tracks","Favorite","GBCQV0900472","2612500"
"The Catechism of Depression","Mournful Congregation","The Book of Kings","Favorites tracks","Favorite","FR4E61100650","24841332"
"Dancers to a Discordant System","Meshuggah","Obzen (15th Anniversary Remastered 2023 Edition)","Favorites tracks","Favorite","DE1AH2308809","396319310"
"Waiting by the Gallows","Cosmic Reaper","Bleed the Wicked, Drown the Damned","Favorites tracks","Favorite","ITM462500204","444287821"
"Nomos Nebuleam","Blut Aus Nord","Hallucinogen","Favorites tracks","Favorite","FR9W11914379","114943919"
"The Crusade","Trivium","The Crusade","Favorites tracks","Favorite","NLA320682505","703223"
"Echoes of Light","Chapel Of Disease","Echoes of Light","Favorites tracks","Favorite","DENI12300104","335849268"
"The Vanishing Spies","Frank Black","Teenager of the Year (30th Anniversary Edition)","Favorites tracks","Favorite","GBAFL2400277","408036811"
"Scarab","Ihsahn","angL","Favorites tracks","Favorite","GBADD0821802","269033548"
"Sworn to the Dark","Watain","Sworn to the Dark","Favorites tracks","Favorite","FR33T0714806","36676883"
"Cerulean Transience of All My Imagined Shores","Disembowelment","Transcendence Into the Peripheral / Dusk (Re-mastered)","Favorites tracks","Favorite","US2640560407","5540507"
"Labyrinthine Hex","Vipassi","Labyrinthine Hex","Favorites tracks","Favorite","AUTLH2300009","320989299"
"The Stars' Shelter","Jade","Mysteries of a Flowery Dream","Favorites tracks","Favorite","SGA512521801","434317539"
"HEALSGEBEDDA BUDGERIGAR / NAAAAGH HA","Nurse With Wound","HEALSGEBEDDA BUDGERIGAR","Favorites tracks","Favorite","GB9GM2400056","453693745"
"Embracing The Unknown","Mariusz Duda","AFR AI D","Favorites tracks","Favorite","GBCQV2300264","311633317"
"I Had A Dream","Masters of Reality","The Archer","Favorites tracks","Favorite","NLB932408003","410774443"
"Dead Again","Mercyful Fate","Dead Again","Favorites tracks","Favorite","USMBR0400566","22760106"
"Selezione Naturale","Karma","Astronotus","Favorites tracks","Favorite","ITB009600295","181133030"
"Gmc","The Cool Kids","When Fish Ride Bicycles","Favorites tracks","Favorite","US3751100017","199414661"
"Andamento lento","Tullio De Piscopo","Il Meglio di Tullio De Piscopo","Favorites tracks","Favorite","ITS049800053","9081070"
"Dreams","Qur'an Shaheed","Pulse","Favorites tracks","Favorite","USA2P2460598","388998619"
"White Room","Mid-Air Thief","Gongjoong Doduk","Favorites tracks","Favorite","KRMIM2005323","189578928"
"Baby Blue","Fishmans","Kuuchuu Camp","Favorites tracks","Favorite","JPPO09509900","92891679"
"Having a Bath","h hunt","Playing Piano for Dad","Favorites tracks","Favorite","USA2P1654694","61384130"
"Death Note","Polyphia","New Levels New Devils","Favorites tracks","Favorite","ITH711800107","92962296"
"Highway Jam","Groop","GROOP","Favorites tracks","Favorite","QM4TX2278078","224864396"
"Kind","Plini","Sunhead","Favorites tracks","Favorite","TCADS1862881","180076362"
"Special Berry","standards","Fruit Island","Favorites tracks","Favorite","USEZ62021801","144387326"
"Tune Down","Chris Joss","Sticks HiRes","Favorites tracks","Favorite","QZK6J2584110","427383134"
"Atonement","Opeth","Ghost Reveries","Favorites tracks","Favorite","NLA320581221","704185"
"Highway Jam","Groop","GROOP","Favorites tracks","Favorite","QM4TX2278078","224864396"
"Kind","Plini","Sunhead","Favorites tracks","Favorite","TCADS1862881","180076362"
"Special Berry","standards","Fruit Island","Favorites tracks","Favorite","USEZ62021801","144387326"
"Tune Down","Chris Joss","Sticks HiRes","Favorites tracks","Favorite","QZK6J2584110","427383134"
"Atonement","Opeth","Ghost Reveries","Favorites tracks","Favorite","NLA320581221","704185"
"Emissaries and the Mysterium Magnum","Melechesh","Emissaries","Favorites tracks","Favorite","FR6V80625720","15172832"
"Oracle By Severed Head","Kayo Dot","Every Rock, Every Half-Truth Under Reason","Favorites tracks","Favorite","DES562512118","434399791"
"Sound Talisman","Natural Information Society","Momentum","Favorites tracks","Favorite","US2391572707","444721735"
"In The Dead Of Night","U.K.","U.K.","Favorites tracks","Favorite","GBAAA7800369","1331062"
"Trip to the Fair","Renaissance","Scheherazade and Other Stories (Remastered)","Favorites tracks","Favorite","DED467500065","15693376"
"Qliphosis","Alkaloid","Numen","Favorites tracks","Favorite","FR33T2376001","296416581"
"I'm The Mountain","Stoned Jesus","Seven Thunders Roar","Favorites tracks","Favorite","FR33T2481604","356135652"
"Polite","Erika de Casier","Sensational","Favorites tracks","Favorite","GBAFL2100010","182354303"
"Stargazer","RAINBOW","Rising","Favorites tracks","Favorite","USPR37680077","2528957"
"Vow Of Silence","Owen Steel","COMBE","Favorites tracks","Favorite","QZK6L2410934","358705331"
"Pacific Hygiene","Girls Pissing on Girls Pissing","Songs of Sodomy and The Compost of Aethyr","Favorites tracks","Favorite","NZMZ11600041","71398910"
"Isa","Dark Fortress","Spectres from the Old World","Favorites tracks","Favorite","GBDHC2010407","124610932"
"Pan Niechcianych Grobów","Death Like Mass","The Lord of Flies","Favorites tracks","Favorite","DENI12300187","390840602"
"Setting Fires","John Cale","POPtical Illusion","Favorites tracks","Favorite","GBCEL2303377","368714234"
"Little b","Kurt Rosenwinkel","Caipi","Favorites tracks","Favorite","UKGMG1600031","379641739"
"Figure Your Life Out","KEN Mode","Entrench","Favorites tracks","Favorite","FR33T1329008","37367882"
"Find Me the Pulse of the Universe","Laetitia Sadier","Silencio","Favorites tracks","Favorite","US58L1252602","111386093"
"Ancient Light","Dawn Ray'd","To Know the Light","Favorites tracks","Favorite","USERN1010811","252080028"
"Enchantment","The Lightbringer","From the Void to Existence","Favorites tracks","Favorite","CABZT2000007","147125527"
"Scylla","Corpo-Mente","Corpo-Mente","Favorites tracks","Favorite","TCACD1572633","41875777"
"Copper Wasp","Night Verses","From the Gallery of Sleep","Favorites tracks","Favorite","US3X51840301","87131016"
"Murder","Jonathan Bree","A Little Night Music","Favorites tracks","Favorite","NZLC01500028","69629565"
"Panorama (2016 Remaster)","The Cars","Panorama (Expanded Edition)","Favorites tracks","Favorite","USRH11509791","76225792"
"Ei aurinko milloinkaan laske","Kuusumun Profeetta","Jatkuvasti Maailmaa Pelastamaan Kyllästynyt Supersankari","Favorites tracks","Favorite","FIEKT0900197","8050800"
"Tabu","Gustavo Cerati","Bocanada","Favorites tracks","Favorite","ARF039900907","5161258"
"Postparto","Hesse Kassel","La Brea","Favorites tracks","Favorite","USL4R2454138","418440493"
"All Stars Have Names","Biosphere","The Way Of Time","Favorites tracks","Favorite","DEG932501454","431923385"
"Sky Hooks","Seefeel","Everything Squared","Favorites tracks","Favorite","GBBPW2400458","369238387"
"Miso","Nicola Cruz","Kinesia","Favorites tracks","Favorite","NL1GH2400701","387183594"
"Theme","KTL","II","Favorites tracks","Favorite","ATE690708502","421095449"
"A wild river to take you home","Black Hill","Tales of the night forest","Favorites tracks","Favorite","GBSMU6241645","107890814"
"Dream is Destiny","No Clear Mind","Dream is Destiny","Favorites tracks","Favorite","UST8K1403340","66382979"
"Alles ist gut","Sankt Otten","Hymnen Und Helden","Favorites tracks","Favorite","DERK92438703","425236666"
"Scrawler","The Messthetics","Anthropocosmic Nest","Favorites tracks","Favorite","US35U1918904","117459931"
"Toward Truth and Reconciliation","Xanthochroid","Of Erthe and Axen: Act II","Favorites tracks","Favorite","USHM91718082","80038022"
"Sticky Hulks","Oh Sees","Mutilator Defeated at Last","Favorites tracks","Favorite","USA2Z1510358","74722619"
"Killing Birds With Stones","Intronaut","Habitual Levitations (Instilling Words With Tones)","Favorites tracks","Favorite","US4E41301701","52104389"
"Rendlesham Way","James Elkington","Ever-Roving Eye","Favorites tracks","Favorite","QM5L81900050","127732765"
"650 CC","Ivy Lab","Jet Lag","Favorites tracks","Favorite","UKCTU1801103","359886252"
"Bring Me a Fire King","Bell X1","Arms","Favorites tracks","Favorite","IEBEV1600002","139658676"
"The Sky Is Red","Leprous","Pitfalls","Favorites tracks","Favorite","GBDHC1911309","116153016"
"Assassins","LIGHTNING BOLT","Wonderful Rainbow","Favorites tracks","Favorite","USTJ21950102","279511801"
"Glottal Wolpertinger Feedback Band 3 / A","Jan St. Werner","Glottal Wolpertinger (Fiepblatter Catalogue #6)","Favorites tracks","Favorite","USTJ21948803","279511860"
"Man With The Magic Soap","Persher","Man With The Magic Soap","Favorites tracks","Favorite","USTJ22258401","279517711"
"Body, Electric","Maya Shenfeld","In Free Fall","Favorites tracks","Favorite","USTJ22155202","279514410"
"The Good Times (I Don't Miss 'Em)","Oozing Wound","We Cater To Cowards","Favorites tracks","Favorite","USTJ22356703","279519170"
"Lack Lustre Rush","Pontiak","INNOCENCE","Favorites tracks","Favorite","USTJ21435702","279507059"
"Beyond the Chemical Doorway","Job For A Cowboy","Moon Healer","Favorites tracks","Favorite","USMBR2315861","313871735"
"there, inside the morning glory","Ben LaMar Gay","Yowzers","Favorites tracks","Favorite","QM84B2597003","419216407"
"Drone Corpse Aviator","Archspire","Bleed the Future","Favorites tracks","Favorite","FR33T2163601","189677758"
"Tragic Heroin","Ashenspire","Hostile Architecture","Favorites tracks","Favorite","ITJ352001879","237325920"
"Leviathan","White Ward","False Light","Favorites tracks","Favorite","FXQ732100085","216462545"
"Nimerudi","GOAT","Nimerudi","Favorites tracks","Favorite","UK2SX2412011","405346922"
"Mistakes Have Been Made","Intensive Care","Was I Good Enough?","Favorites tracks","Favorite","QMFMF2464015","408488776"
"Graucha Max","DARKSIDE","Nothing","Favorites tracks","Favorite","USMTD2400501","416175570"
"Pleasuredome (feat. Dave Lombardo & Tomas Haake)","Imperial Triumphant","Goldstar","Favorites tracks","Favorite","GBDHC2550708","403922119"
"Anywhere but Here","Panda Bear","Sinister Grift","Favorites tracks","Favorite","GBCEL2400260","393362918"
"L'Ancienne","Djrum","Under Tangled Silence","Favorites tracks","Favorite","GBEXH2401983","420061326"
"Total euphoria","caroline","Total euphoria","Favorites tracks","Favorite","GBCVZ2400262","419883838"
"Penetrator","YHWH Nailgun","45 Pounds","Favorites tracks","Favorite","QZNWP2405701","407080457"
"This Is Real","feeble little horse","This Is Real","Favorites tracks","Favorite","US2U62539801","417756163"
